unique_id,transaction_id,unformatted_date,customer_id,product_id,product_name,category_id,category_name,parent_id,parent_name,product_count,site_id,site_name,address,city,zip,latitude,longitude,site_status,revenue,gross_profit,costs,units
1429891,20180707|561|3|5|7718095,9/30/18,NA,2386,SIMPLY LMNDE RSPBRY 52OZ,260,Pk Bev-juice No Tax (78),151,Juice No Tax (311),95,296,561 Gardendale,890 Odum Road,Gardendale,35071,39.8873,-94.8933,ACTIVE,3.29,1.20143,2.08857,1
1903432,20171220|4923|1|4|4067399,3/15/18,NA,3056,MARLB SPCL BLND BLK 100 BX,206,Cig-off Inv-premium (441),11,Off Invoice Cigs (104),199,250,4923 Commerce City,7351 Magnolia St,Commerce City,80022,39.8303,-104.911,ACTIVE,11.58,1.25786,10.32214,2
1153221,20181004|423|1|1|3121268,12/28/18,7217.472,18235,LOTTO WIN,137,Lotto (271),136,Lotto (271),2,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,-6,0,0,6
2886983,20180724|551|1|1|3678789,10/17/18,NA,5628,LARGE FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,287,551 Ashland,131 E Broadway,Ashland,65010,38.7749,-92.2606,ACTIVE,1,1,0,1
1718901,20171023|921|2|3|2760474,1/16/18,NA,4026,PLANTERS TB NTRTN HRT MX 1.5OZ,55,Nuts & seeds,185,Nuts,318,440,921 Greenwood Vlg,8525 E Arapahoe Rd,Greenwood Vlg,80112,39.5964,-104.891,ACTIVE,2.29,1.30467,0.98533,1
2810901,20180531|370|2|2|4586989,8/24/18,NA,5365,LARGE COFFEE,145,Hot Disp Bev-retail (301),232,Hot Dispensed Beverage,9,140,370 Dunning,403 Jewett Ave,Dunning,68833,41.8281,-100.105,ACTIVE,1.69,0.912067,0.777933,1
2179722,20171231|250|2|2|4323902,3/26/18,NA,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,101,250 Ayr,4075 W Lincoln St,Ayr,68925,40.4372,-98.4387,ACTIVE,6,0.7695,5.2305,2.565
2208012,20180301|385|1|100|3950465,5/25/18,NA,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,155,385 Bentonville,1706 S Walton Blvd,Bentonville,72712,36.3531,-94.212,ACTIVE,27,3.5232,23.4768,11.744
2099311,20180817|381|1|100|4211384,11/10/18,NA,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,151,381 Midway,323 Highway 178 W,Midway,72651,36.3862,-92.4672,ACTIVE,45,5.2551,39.7449,17.517
1449266,20180127|563|2|2|3405103,4/22/18,NA,12052,WILD TURKEY AM HNY 50ML,173,Whiskey,249,Liquor,201,298,563 Jackson,4206 N College Ave,Jackson,36545,40.4403,-95.3812,ACTIVE,9,2.87922,6.12078,6
